Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1984.0
FDW14,OUT017,1643.0
NCN55,OUT010,2208.0
FDQ58,OUT017,2880.0
FDY38,OUT027,5728.0
FDH56,OUT046,1862.0
FDL48,OUT018,384.0
FDC48,OUT027,3136.0
FDN33,OUT045,1408.0
FDA36,OUT017,3328.0
FDT44,OUT017,2048.0
FDQ56,OUT045,1184.0
NCC54,OUT019,2048.0
FDU11,OUT049,1888.0
DRL59,OUT013,944.0
FDM24,OUT049,2528.0
FDI57,OUT045,3392.0
DRC12,OUT018,3008.0
NCM42,OUT027,3456.0
FDA46,OUT010,1056.0
FDA31,OUT013,2880.0
NCJ31,OUT035,4096.0
FDG52,OUT046,630.0
NCL19,OUT019,512.0
FDS10,OUT035,3392.0
FDX22,OUT010,1632.0
NCF19,OUT035,896.0
NCE06,OUT046,2560.0
DRC27,OUT046,4160.0
FDE21,OUT035,2080.0
NCR42,OUT019,-1408.0
FDX51,OUT018,3008.0
NCR06,OUT018,384.0
FDU31,OUT027,5504.0
FDU59,OUT017,2816.0
FDR03,OUT027,5408.0
FDS49,OUT027,3072.0
FDD48,OUT010,-64.0
NCF18,OUT017,3392.0
NCD43,OUT027,3392.0
NCD54,OUT018,2112.0
FDY19,OUT010,-24.0
NCY54,OUT017,2880.0
NCL19,OUT018,2176.0
FDP23,OUT010,1728.0
FDC26,OUT013,1760.0
FDR14,OUT010,-1472.0
NCS41,OUT035,3264.0
FDF41,OUT035,4320.0
FDU34,OUT046,2016.0
DRH11,OUT046,704.0
FDM03,OUT013,1856.0
FDS31,OUT017,3392.0
FDJ20,OUT017,2160.0
FDV44,OUT027,5056.0
FDG02,OUT049,3232.0
FDA09,OUT013,3040.0
FDT04,OUT013,640.0
FDL58,OUT019,2560.0
FDE52,OUT045,1472.0
FDW12,OUT035,2594.0
FDL51,OUT017,3936.0
NCY42,OUT027,4064.0
FDR07,OUT017,1696.0
FDN40,OUT045,2368.0
FDB35,OUT027,3264.0
FDA22,OUT017,2880.0
NCL06,OUT046,4480.0
FDI35,OUT013,3136.0
NCW42,OUT045,3776.0
NCX06,OUT049,3136.0
FDC37,OUT027,3520.0
FDZ14,OUT018,1664.0
DRG49,OUT049,4160.0
NCG06,OUT045,4448.0
DRC36,OUT045,2970.0
FDV21,OUT019,-224.0
FDB53,OUT046,2320.0
DRP47,OUT019,2176.0
FDA14,OUT013,2496.0
DRC24,OUT035,2788.0
FDW21,OUT018,1376.0
NCH29,OUT046,1552.0
FDU58,OUT013,3296.0
FDY27,OUT017,3200.0
FDV56,OUT035,2048.0
FDT59,OUT046,3968.0
FDB23,OUT046,3968.0
FDR49,OUT045,448.0
FDB03,OUT010,1872.0
FDN39,OUT045,2848.0
FDX02,OUT027,5600.0
FDQ16,OUT027,3520.0
FDU35,OUT018,1184.0
NCT29,OUT013,1984.0
FDZ27,OUT046,782.0
FDN57,OUT017,2528.0
FDA03,OUT018,2176.0
FDZ36,OUT045,2944.0
NCU05,OUT013,1360.0
FDT39,OUT018,2112.0
FDK60,OUT017,1792.0
FDZ25,OUT017,3136.0
FDG12,OUT046,2144.0
DRB01,OUT019,1216.0
NCC43,OUT027,5952.0
FDX13,OUT019,2304.0
FDM22,OUT049,832.0
FDJ03,OUT027,2560.0
FDU14,OUT018,4032.0
FDB33,OUT010,768.0
FDP27,OUT046,2960.0
FDO38,OUT010,-832.0
FDE28,OUT027,5696.0
FDO27,OUT035,1504.0
DRL23,OUT027,3648.0
FDS28,OUT046,736.0
FDX24,OUT013,1616.0
FDZ02,OUT035,1728.0
FDL46,OUT045,1920.0
FDS60,OUT027,4832.0
NCO06,OUT017,576.0
FDO16,OUT035,1504.0
FDC60,OUT049,1280.0
FDA48,OUT018,3316.0
FDZ36,OUT027,4928.0
FDK27,OUT045,1984.0
FDW23,OUT018,32.0
FDM14,OUT018,1472.0
FDM14,OUT013,1856.0
FDW60,OUT018,2688.0
FDE21,OUT013,1984.0
NCM42,OUT035,1920.0
FDY59,OUT010,-384.0
DRI49,OUT049,1152.0
FDT28,OUT019,480.0
FDQ22,OUT018,192.0
FDR60,OUT049,1120.0
FDC50,OUT019,-672.0
FDV24,OUT013,2560.0
DRF48,OUT010,960.0
FDQ47,OUT046,256.0
DRN36,OUT049,1664.0
NCY06,OUT035,2304.0
FDE52,OUT035,1698.0
NCB54,OUT045,2016.0
NCF31,OUT035,2688.0
FDJ08,OUT027,4928.0
NCC07,OUT017,1888.0
NCD19,OUT027,2624.0
FDL46,OUT049,2048.0
FDM20,OUT045,4224.0
NCI06,OUT010,1056.0
DRM11,OUT035,4608.0
NCH07,OUT018,2208.0
FDS23,OUT013,2016.0
FDO49,OUT018,384.0
FDS35,OUT049,896.0
DRK39,OUT045,1280.0
DRI39,OUT049,832.0
FDV04,OUT017,2608.0
NCN14,OUT035,3232.0
FDH08,OUT013,4000.0
FDS20,OUT046,3040.0
FDV40,OUT049,1408.0
FDZ48,OUT010,-224.0
FDS24,OUT027,3264.0
FDK44,OUT049,2912.0
FDS48,OUT045,2432.0
FDK26,OUT010,1248.0
FDD23,OUT045,3200.0
NCH54,OUT017,2816.0
NCP14,OUT010,-448.0
FDM60,OUT010,-1408.0
FDV24,OUT017,2656.0
FDH08,OUT018,3568.0
FDS12,OUT027,3584.0
FDR39,OUT027,4832.0
FDP12,OUT027,2409.0
DRF60,OUT027,5856.0
FDC09,OUT035,1888.0
FDF50,OUT018,2976.0
FDG28,OUT035,4480.0
NCE19,OUT017,832.0
NCM53,OUT010,-224.0
NCN18,OUT049,1792.0
FDF32,OUT035,3648.0
FDF11,OUT013,4256.0
DRI59,OUT049,3968.0
